Player,Team,Lg,SN,Pos,GP,GS,Inn,E,PO,A,DP,GoodPlays,PoorPlays,FPct,RF,SB,CS,CERA,PB,PK
"Sunday, Billy",CHC,NL,1886,LF,10,2,34.0,1,6,0,0,0,0,.857,1.59,0,0,0,0,0
"Lewis, Fred",CHC,NL,1886,CF,4,4,28.0,0,12,0,0,0,1,1.000,3.86,0,0,0,0,0
"Dalrymple, Abner",CHC,NL,1886,CF,7,2,26.0,1,7,2,1,0,1,.900,3.12,0,0,0,0,0
"Dalrymple, Abner",CHC,NL,1886,RF,9,1,25.0,0,7,0,0,0,0,1.000,2.52,0,0,0,0,0
"Hornung, Joe",CHC,NL,1886,CF,11,0,22.0,0,8,0,0,0,0,1.000,3.27,0,0,0,0,0
"Shaffer, Orator",CHC,NL,1886,LF,3,3,21.0,0,3,0,0,0,0,1.000,1.29,0,0,0,0,0
"Smith, Bill",CHC,NL,1886,P,11,0,13.7,0,1,0,0,0,0,1.000,.66,1,1,0,0,0
"Sunday, Billy",CHC,NL,1886,RF,6,0,12.3,0,2,0,0,0,0,1.000,1.46,0,0,0,0,0
"Ringo, Frank",CHC,NL,1886,3B,2,1,8.0,0,1,0,1,0,0,1.000,1.13,0,0,0,0,0
"Kelly, King",CHC,NL,1886,LF,1,1,8.0,0,1,0,0,0,0,1.000,1.13,0,0,0,0,0
"Ryan, Jimmy",CHC,NL,1886,3B,2,0,4.3,1,1,1,0,0,0,.667,4.15,0,0,0,0,0
"Donahue, Jim",CHC,NL,1886,C,2,0,3.0,0,0,0,0,0,0,.000,.00,0,0,3,0,0
"Ringo, Frank",CHC,NL,1886,1B,2,0,3.0,0,3,2,0,0,0,1.000,15.00,0,0,0,0,0
"Shaffer, Orator",CHC,NL,1886,RF,1,0,3.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Jones, Charley",CHC,NL,1886,LF,1,0,2.3,0,2,0,0,0,0,1.000,7.71,0,0,0,0,0
"Lewis, Fred",CHC,NL,1886,3B,1,0,2.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Sunday, Billy",CHC,NL,1886,CF,2,0,2.0,0,1,1,1,0,0,1.000,9.00,0,0,0,0,0
"Dalrymple, Abner",CHC,NL,1886,LF,1,0,2.0,0,3,0,0,0,0,1.000,13.50,0,0,0,0,0
"Snyder, Pop",CHC,NL,1886,1B,1,0,2.0,0,1,0,0,0,0,1.000,4.50,0,0,0,0,0
"White, Will",CHC,NL,1886,P,2,0,1.3,0,1,0,0,0,0,1.000,6.75,0,0,0,0,0
"Snyder, Pop",CHC,NL,1886,C,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Ryan, Jimmy",CHC,NL,1886,2B,1,0,1.0,0,1,0,0,0,0,1.000,9.00,0,0,0,0,0
"Ryan, Jimmy",CHC,NL,1886,SS,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Ryan, Jimmy",CHC,NL,1886,RF,1,0,1.0,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Ringo, Frank",CHC,NL,1886,CF,1,0,0.3,0,0,0,0,0,0,.000,.00,0,0,0,0,0
"Phillips, Bill",CIN,AA,1886,1B,21,21,186.3,1,206,21,6,1,1,.996,10.96,0,0,0,0,0
"McPhee, Bid",CIN,AA,1886,2B,21,21,179.3,10,69,49,4,4,0,.922,5.92,0,0,0,0,0
"Latham, Arlie",CIN,AA,1886,3B,21,21,179.3,12,25,58,2,0,0,.874,4.17,0,0,0,0,0
"Browning, Pete",CIN,AA,1886,LF,18,18,151.7,11,36,2,0,3,0,.776,2.25,0,0,0,0,0
"Burch, Ernie",CIN,AA,1886,RF,17,17,136.7,6,27,1,0,0,1,.824,1.84,0,0,0,0,0
"Bastian, Charlie",CIN,AA,1886,SS,17,15,129.3,11,31,49,2,0,2,.879,5.57,0,0,0,0,0
"Reilly, John",CIN,AA,1886,CF,15,15,119.3,3,41,0,0,0,2,.932,3.09,0,0,0,0,0
"Ewing, Buck",CIN,AA,1886,C,12,12,100.7,3,35,22,0,0,0,.950,5.10,16,13,4.29,5,0
"Radbourn, Charley",CIN,AA,1886,P,12,0,94.0,1,3,11,0,1,0,.933,1.34,17,11,0,0,0
